-4.31721, -18.1679, -2.45221, -7.5205
-9.29337, -36.0302, -4.99741, -14.9586
-14.2695, -53.8922, -7.54258, -22.3967
-19.2455, -71.7541, -10.0877, -29.8348
-24.2216, -89.616, -12.6329, -37.2729
-29.1976, -107.478, -15.1781, -44.7109
-34.1737, -125.34, -17.7232, -52.149
-39.1497, -143.202, -20.2684, -59.5871
-44.1258, -161.064, -22.8136, -67.0251
-49.1018, -178.925, -25.3587, -74.4632
-54.0779, -196.787, -27.9039, -81.9012
-59.0539, -214.649, -30.449, -89.3393
-64.03, -232.511, -32.9942, -96.7774
-69.006, -250.373, -35.5394, -104.215
-73.982, -268.235, -38.0845, -111.653
-78.9581, -286.097, -40.6297, -119.092
-83.9341, -303.958, -43.1748, -126.53
-88.9102, -321.82, -45.72, -133.968
-93.8862, -339.682, -48.2652, -141.406
-98.8622, -357.544, -50.8103, -148.844
-103.838, -375.406, -53.3555, -156.282
-108.814, -393.268, -55.9006, -163.72
-113.79, -411.129, -58.4458, -171.158
-118.766, -428.991, -60.991, -178.596
-123.742, -446.853, -63.5361, -186.034
-128.718, -464.715, -66.0813, -193.472
-133.695, -482.577, -68.6264, -200.91
-138.671, -500.439, -71.1716, -208.348
-143.647, -518.3, -73.7168, -215.786
-148.623, -536.162, -76.2619, -223.224
-153.599, -554.024, -78.8071, -230.662
-158.575, -571.886, -81.3522, -238.1
-163.551, -589.748, -83.8974, -245.538
-168.527, -607.61, -86.4425, -252.976
-173.503, -625.472, -88.9877, -260.415
-178.479, -643.333, -91.5329, -267.853
-183.455, -661.195, -94.078, -275.291
-188.431, -679.057, -96.6232, -282.729
-193.407, -696.919, -99.1683, -290.167
-198.383, -714.781, -101.714, -297.605
-203.359, -732.643, -104.259, -305.043
-208.335, -750.504, -106.804, -312.481
-213.311, -768.366, -109.349, -319.919
-218.287, -786.228, -111.894, -327.357
-223.263, -804.09, -114.439, -334.795
-228.239, -821.952, -116.984, -342.233
-233.215, -839.814, -119.53, -349.671
-238.191, -857.675, -122.075, -357.109
-243.167, -875.537, -124.62, -364.547
-248.143, -893.399, -127.165, -371.985
-253.119, -911.261, -129.71, -379.423
-258.095, -929.123, -132.255, -386.861
-263.072, -946.985, -134.801, -394.299
-268.048, -964.846, -137.346, -401.738
-273.024, -982.708, -139.891, -409.176
-278, -1000.57, -142.436, -416.614
-282.976, -1018.43, -144.981, -424.052
-287.952, -1036.29, -147.526, -431.49
-292.928, -1054.16, -150.072, -438.928
-297.904, -1072.02, -152.617, -446.366
-302.88, -1089.88, -155.162, -453.804
-307.856, -1107.74, -157.707, -461.242
-312.832, -1125.6, -160.252, -468.68
-317.808, -1143.46, -162.797, -476.118
-322.784, -1161.33, -165.342, -483.556
-327.76, -1179.19, -167.888, -490.994
-332.736, -1197.05, -170.433, -498.432
-337.712, -1214.91, -172.978, -505.87
-342.688, -1232.77, -175.523, -513.308
-347.664, -1250.64, -178.068, -520.746
-352.64, -1268.5, -180.613, -528.184
-357.616, -1286.36, -183.159, -535.622
-362.592, -1304.22, -185.704, -543.061
-367.568, -1322.08, -188.249, -550.499
-372.544, -1339.94, -190.794, -557.937
-377.52, -1357.81, -193.339, -565.375
-382.496, -1375.67, -195.884, -572.813
-387.472, -1393.53, -198.43, -580.251
-392.448, -1411.39, -200.975, -587.689
-397.425, -1429.25, -203.52, -595.127
-402.401, -1447.12, -206.065, -602.565
-407.377, -1464.98, -208.61, -610.003
-412.353, -1482.84, -211.155, -617.441
-417.329, -1500.7, -213.7, -624.879
-422.305, -1518.56, -216.246, -632.317
-427.281, -1536.43, -218.791, -639.755
-432.257, -1554.29, -221.336, -647.193
-437.233, -1572.15, -223.881, -654.631
-442.209, -1590.01, -226.426, -662.069
-447.185, -1607.87, -228.971, -669.507
-452.161, -1625.73, -231.517, -676.945
-457.137, -1643.6, -234.062, -684.384
-462.113, -1661.46, -236.607, -691.822
-467.089, -1679.32, -239.152, -699.26
-472.065, -1697.18, -241.697, -706.698
-477.041, -1715.04, -244.242, -714.136
-482.017, -1732.91, -246.788, -721.574
-486.993, -1750.77, -249.333, -729.012
-491.969, -1768.63, -251.878, -736.45
-496.945, -1786.49, -254.423, -743.888
-501.921, -1804.35, -256.968, -751.326
-506.897, -1822.21, -259.513, -758.764
-511.873, -1840.08, -262.059, -766.202
-516.849, -1857.94, -264.604, -773.64
-521.825, -1875.8, -267.149, -781.078
-526.801, -1893.66, -269.694, -788.516
-531.778, -1911.52, -272.239, -795.954
-536.754, -1929.39, -274.784, -803.392
-541.73, -1947.25, -277.329, -810.83
-546.706, -1965.11, -279.875, -818.268
-551.682, -1982.97, -282.42, -825.706
-556.658, -2000.83, -284.965, -833.145
-561.634, -2018.69, -287.51, -840.583
-566.61, -2036.56, -290.055, -848.021
-571.586, -2054.42, -292.6, -855.459
-576.562, -2072.28, -295.146, -862.897
-581.538, -2090.14, -297.691, -870.335
-586.514, -2108, -300.236, -877.773
-591.49, -2125.87, -302.781, -885.211
-596.466, -2143.73, -305.326, -892.649
